Name,Column,Description,Labels,Assignees,Due Date,Milestone
Update portfolio,To Do,,,,,
finish vfx for rockets,Finished,,,,,
fix up launch button,Finished,,,,,
Houdini Hive Sept 23-24,Finished,,,,,
Models and Textures,Finished,,Senior project,,,
Court Visit,Finished,,"Corporate Issues (Card),CS Game Design",,,
Week 3,Finished,,Clayton,,,
Idea and Prototype,Finished,,CS Game Design,,,
doctor documents for coffee,Finished,,,,,
Program 1,Finished,,CS Game Design,,,
Week 2,Finished,,Clayton,,,
Week 1,Finished,"
![Kaden_dark_particle_FX_simulation_oled_3d_render_bae6e85b-b9bb-40c0-a94a-78eda148108f.png](https://app.gitkraken.com/api/glo/boards/630654775b3de2001c61f1b8/attachments/630841cc5b3de2001c6208c9)
",Clayton,,,
Do Skeleton for Welcome to Huntsville,Finished,,Senior project,,,
Cover Letter,Finished,,Corporate Issues (Card),,,
Identify Project needs,Finished,,Clayton,,,
