Name,Column,Description,Labels,Assignees,Due Date,Milestone
put research into buckets,Finished,,Marty Senior DGM3571,,,
service learning proposal,Finished,,Online DGM312G,,,
discuss 312g,Finished,,Online DGM312G,,,
weekly milestone,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
create controls,Finished,,Clayton Rigging DGM3660,,,
get images of week 2 video,Finished,,Anthony Project DGM3680,,,
go through everyone else's ice breaker,Finished,,Marty Senior DGM3571,,,
Connection demo,Finished,,CS Mobile CS3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
redesign ship,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
anim tip,Finished,,Anthony Project DGM3680,,,
312g business quiz,Finished,,Online DGM312G,,,
performance anims,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
general questions,Finished,,Marty Senior DGM3571,,,
discuss encountering Mismatches,Finished,,Online DGM312G,,,
orient joints,Finished,,Clayton Rigging DGM3660,,,
Week 2 milestone,Finished,,Anthony Project DGM3680,,,
culture quiz due Jan 23,Finished,,Online DGM312G,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Project 1,Finished,,CS Mobile CS3680,,,
Discuss anim tip due today,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do week milestone,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
create concept,Finished,,Anthony Project DGM3680,,,
parent joints,Finished,,Clayton Rigging DGM3660,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Syllabus Quiz Due Jan 16th,Finished,,Online DGM312G,,,
Post about me Due Jan 16th,Finished,,Online DGM312G,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
submit request for project,Finished,,Marty Senior DGM3571,,,
send description for kevin,Finished,include name pronouns and portfolio,Marty Senior DGM3571,,,
create locators and joints,Finished,,Clayton Rigging DGM3660,,,
Do discussion,Finished,,Anthony Project DGM3680,,,
get mismatch book,Finished,,Online DGM312G,,,
set up time card,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
get sketchbook,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
organize doc,Finished,https://miro.com/welcome/ZllXSU90ZXJkdVpnbkZPQXlMUVZteXViRFFzSzZXV3h1ZkFXNWh5WjV4QTdEdDhURXhtUWl1UWhYT1JrckhaN3wzNDU4NzY0NTIwMzE0MTI0MjEx?invite_link_id=107595577279,Marty Senior DGM3571,,,
add notes to doc,Finished,,Marty Senior DGM3571,,,
make mood board,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
fix rig and animate,Finished,,Clayton Rigging DGM3660,,,
caption a video,Finished,,Online DGM312G,,,
make the 2 slides for tomorrow,Finished,,Marty Senior DGM3571,,,
rework idea 2,Finished,,Marty Senior DGM3571,,,
Anim submission,Finished,,Anthony Project DGM3680,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
Create select parent constraint script,Finished,"in select command there is a flag for type

specify parent constraint",Clayton Rigging DGM3660,,,
render scene,Finished,,Anthony Project DGM3680,,,
animate rig,Finished,,Clayton Rigging DGM3660,,,
create proxy mesh,Finished,,Clayton Rigging DGM3660,,,
ask how to target constraints with select script,Finished,,Clayton Rigging DGM3660,,,
Ask clayton why foot roll doesn't look good,Finished,,Clayton Rigging DGM3660,,,
Ask clayton how to fix foot driven keys without changing the 0 position,Finished,,Clayton Rigging DGM3660,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
character rig,Finished,,Clayton Rigging DGM3660,,,
discuss design,Finished,,Online DGM312G,,,
discuss microfinance,Finished,,Online DGM312G,,,
discuss treatment,Finished,,Online DGM312G,,,
finish lighting scene,Finished,,,,,
Weekly milestone (1),Finished,"https://app.gitkraken.com/glo/board/Ydx0NDgB7gBH-w5z
https://github.com/KadenCampbell1
",Anthony Project DGM3680,,,
Light Scene,Finished,,Anthony Project DGM3680,,,
Project 3,Finished,,CS Mobile CS3680,,,
finish project 3,Finished,,,,,
Redo rig,Finished,,Clayton Rigging DGM3660,,,
plane tickets,Finished,,,,,
create rig notes,Finished,,Clayton Rigging DGM3660,,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
layout scene,Finished,,Anthony Project DGM3680,,,
Add material to each asset in geo level,Finished,,"Anthony Project DGM3680,Anthony Project DGM3680",,,
do daily sketch (1),Finished,,Anthony Project DGM3680,,,
ask about photo with kevin,Finished,,,,,
motor quiz,Finished,,Online DGM312G,,,
